power [kw],Time
96.33,2020 01 31 11:00:00
87.88,2020 01 31 12:00:00
84.02,2020 01 31 13:00:00
82.34,2020 01 31 14:00:00
99.52,2020 01 31 15:00:00
195.21,2020 01 31 16:00:00
340.39,2020 01 31 17:00:00
365.02,2020 01 31 18:00:00
352.38,2020 01 31 19:00:00
346.42,2020 01 31 20:00:00
278.08,2020 01 31 21:00:00
195.92,2020 01 31 22:00:00
127.85,2020 01 31 23:00:00
87.51,2020 02 01 00:00:00
86.72,2020 02 01 01:00:00
89.95,2020 02 01 02:00:00
95.4,2020 02 01 03:00:00
125.39,2020 02 01 04:00:00
183.5,2020 02 01 05:00:00
250.58,2020 02 01 06:00:00
217.45,2020 02 01 07:00:00
199.86,2020 02 01 08:00:00
158.55,2020 02 01 09:00:00
115.09,2020 02 01 10:00:00
110.1,2020 02 01 11:00:00
98.25,2020 02 01 12:00:00
92.06,2020 02 01 13:00:00
87.74,2020 02 01 14:00:00
104.0,2020 02 01 15:00:00
201.25,2020 02 01 16:00:00
350.39,2020 02 01 17:00:00
379.54,2020 02 01 18:00:00
370.61,2020 02 01 19:00:00
368.32,2020 02 01 20:00:00
301.6,2020 02 01 21:00:00
216.58,2020 02 01 22:00:00
144.47,2020 02 01 23:00:00
100.36,2020 02 02 00:00:00
95.88,2020 02 02 01:00:00
94.92,2020 02 02 02:00:00
95.76,2020 02 02 03:00:00
123.4,2020 02 02 04:00:00
180.91,2020 02 02 05:00:00
247.4,2020 02 02 06:00:00
212.1,2020 02 02 07:00:00
191.97,2020 02 02 08:00:00
147.51,2020 02 02 09:00:00
103.74,2020 02 02 10:00:00
100.3,2020 02 02 11:00:00
90.37,2020 02 02 12:00:00
84.12,2020 02 02 13:00:00
80.25,2020 02 02 14:00:00
97.78,2020 02 02 15:00:00
193.67,2020 02 02 16:00:00
339.6,2020 02 02 17:00:00
366.84,2020 02 02 18:00:00
357.84,2020 02 02 19:00:00
356.14,2020 02 02 20:00:00
289.94,2020 02 02 21:00:00
206.51,2020 02 02 22:00:00
136.98,2020 02 02 23:00:00
95.54,2020 02 03 00:00:00
92.23,2020 02 03 01:00:00
91.29,2020 02 03 02:00:00
92.08,2020 02 03 03:00:00
117.99,2020 02 03 04:00:00
172.65,2020 02 03 05:00:00
236.33,2020 02 03 06:00:00
202.6,2020 02 03 07:00:00
187.87,2020 02 03 08:00:00
148.67,2020 02 03 09:00:00
108.07,2020 02 03 10:00:00
107.32,2020 02 03 11:00:00
99.58,2020 02 03 12:00:00
93.5,2020 02 03 13:00:00
86.68,2020 02 03 14:00:00
99.78,2020 02 03 15:00:00
193.58,2020 02 03 16:00:00
323.72,2020 02 03 17:00:00
362.45,2020 02 03 18:00:00
349.56,2020 02 03 19:00:00
343.46,2020 02 03 20:00:00
272.82,2020 02 03 21:00:00
184.98,2020 02 03 22:00:00
111.22,2020 02 03 23:00:00
65.54,2020 02 04 00:00:00
59.35,2020 02 04 01:00:00
56.74,2020 02 04 02:00:00
56.34,2020 02 04 03:00:00
